Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
45352,A001602262,CALLE 14A CARRERA 34   BACHUE,BACHUE,2,2,HERIDOS,0,0,CHOQUE
45444,A001602263,CALLE 14 CARRERA  28   SAN JOSÉ,SAN JOSÉ,2,3,HERIDOS,0,0,CHOQUE
45536,A001602264,KILOMETRO 7+800 MTS,No registra,1,1,HERIDOS,0,0,CHOQUE
45627,A001602265,AVENIDA 23 N. 24 - 07   LA TIZA,LA TIZA,2,2,HERIDOS,0,0,CHOQUE
45627,A001602266,KILOMETRO 3+500 MTS VIA CHICHIMENE ESTACION ACACIAS,No registra,2,1,HERIDOS,0,0,CHOQUE
01/15/2024 12:00:00 AM,A001602267,CALLE 13 N.22+48  -  COOPERATIVO,COOPERATIVO,1,1,HERIDOS,0,0,CHOQUE
01/17/2024 12:00:00 AM,A001602268,CALLE 18 N 21-56 -  MANCERA,MANCERA,2,1,HERIDOS,0,0,CHOQUE
01/27/2024 12:00:00 AM,A001602270,CALLE 10 N 23 -01  -  DORADO,DORADO,2,1,HERIDOS,0,0,CHOQUE
01/26/2021 12:00:00 AM,A001602269,DIAGONAL 15 CARRERA 31 - VILLA DEL SOL  VEREDA,No registra,1,0,MUERTOS,1,1,CHOQUE
45475,A001602271,AVENIDA 23 CARRERA  27 -,No registra,2,1,HERIDOS,0,0,CHOQUE
45628,A001602273,CALLE 11 CARRERA 23  -  DORADO,DORADO,2,1,HERIDOS,0,0,CHOQUE
45628,A001602272,AVENIDA 23 N. 5A-93 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,1,HERIDOS,0,0,CHOQUE
02/14/2024 12:00:00 AM,A001602274,CALLE 18 CARRERA 14 -  SAN CRISTOBAL LOMA DE TIGRE,SAN CRISTOBAL,2,3,HERIDOS,0,0,CHOQUE
02/15/2024 12:00:00 AM,A001602275,KILOMETRO 1+200 MTS   -,No registra,2,1,HERIDOS,0,0,CHOQUE
02/15/2024 12:00:00 AM,A001602276,CARRERA 23 N.17 -76  -  MANCERA,MANCERA,2,3,HERIDOS,0,0,CHOQUE
02/18/2024 12:00:00 AM,A001602278,CALLE 18 N-4-01  -  POPULAR,POPULAR,2,1,HERIDOS,0,0,CHOQUE
02/18/2024 12:00:00 AM,A001602277,CARRERA 23 N.16A-35  -  EL BOSQUE,EL BOSQUE,2,2,HERIDOS,0,0,CHOQUE
02/20/2024 12:00:00 AM,A001602279,CALLE 12 CARRERA 26 -  DORADO,DORADO,2,1,HERIDOS,0,0,CHOQUE
02/21/2024 12:00:00 AM,A001602280,CALLE 15 CARRERA 33 -,No registra,2,1,HERIDOS,0,0,CHOQUE
02/22/2024 12:00:00 AM,A001602281,KILOMETRO 3 VIA ANTIGUA GUAMAL  -,No registra,1,0,MUERTOS,1,1,CHOQUE
02/24/2024 12:00:00 AM,A001602282,CALLE 17 CARRERA 6 -  POPULAR,POPULAR,2,3,HERIDOS,0,0,CHOQUE
02/27/2024 12:00:00 AM,C-001587577,KILOMETRO 57+100 MTS VIA GRANADA -VILLAVICENCIO  -,No registra,2,0,MUERTOS,1,2,CHOQUE
45354,A0001602263,KILOMETRO KM 7 VIA ANTIGUA GUAMAL  -,No registra,2,2,HERIDOS,0,0,CHOQUE
45415,A0001602284,CALLE 15 CARRERA 47 -  COLINAS EL ROSARIO,COLINAS,2,1,HERIDOS,0,0,CHOQUE
45599,A0001602285,CARRERA 33 CALLE  14A -  BACHUE,BACHUE,2,3,HERIDOS,0,0,CHOQUE
03/23/2024 12:00:00 AM,A001602286,CALLE 13 N 19-70  -,No registra,1,1,MUERTOS,1,1,ATROPELLO
03/29/2024 12:00:00 AM,A0001651928,KILOMETRO 0+400 MTS VIA ANTIGUA GUAMAL  -,No registra,2,2,HERIDOS,0,0,CHOQUE
03/27/2024 12:00:00 AM,A0001602287,AVENIDA 23 CARRERA 27A -  VILLA LUCIA,VILLA LUCIA,2,1,HERIDOS,0,0,CHOQUE
03/30/2024 12:00:00 AM,A0001651929,CALLE 18 N 9-50  -  POPULAR,POPULAR,1,1,HERIDOS,0,0,ATROPELLO
45569,A0001651930,CALLE 14 CARRERA 41 -  COMCAJA RANCHO GRANDE,COMCAJA,2,2,HERIDOS,0,0,CHOQUE
45569,A0001651931,KILOMETRO 1 VIA ACACIAS -VILLAVICENCIO  -  VILLA MANUELA,VILLA MANUELA,2,3,HERIDOS,0,0,CHOQUE
45600,A001651932,CALLE 11 CRA 31 -  SAMAN BRISAS DEL GUAYURIBA,SAMAN,3,2,HERIDOS,0,0,CHOQUE
45600,A001651933,CALLE 19 N.22A  -  SIN INFORMACIÓN DEL BARRIO RANCHO GRANDE,SIN INFORMACIÓN DEL BARRIO,2,2,HERIDOS,0,0,CHOQUE
04/14/2024 12:00:00 AM,A001651934,CARRERA 15 6A -77  -  MALECÓN TURISTICO,MALECÓN TURISTICO,2,3,HERIDOS,0,0,CHOQUE
04/19/2024 12:00:00 AM,A001651935,CALLE 20 CARRERA 49 -  COLINAS,COLINAS,2,1,HERIDOS,0,0,CHOQUE
04/21/2024 12:00:00 AM,A001651936,CALLE 13 CARRERA 18 -  CENTRO,CENTRO,2,3,HERIDOS,0,0,CHOQUE
04/25/2024 12:00:00 AM,A001651937,CALLE 14 CARRERA 12 -  JUAN MELLAO,JUAN MELLAO,2,1,HERIDOS,0,0,CHOQUE
04/27/2024 12:00:00 AM,A001651938,CALLE 12 CARRERA 25 -  DORADO BAJO,DORADO BAJO,2,1,HERIDOS,0,0,CHOQUE
